time,speed,throttle
625776957,207659.1796875,70.0
625963133,207667.96875,70.0
626161216,207685.546875,70.0
626360932,207720.703125,70.0
626566365,207738.28125,70.0
626761845,207729.4921875,70.0
626964551,207729.4921875,70.0
627160401,207729.4921875,70.0
627361930,207747.0703125,70.0
627561242,207747.0703125,70.0
627756515,207738.28125,70.0
627963717,207738.28125,70.0
628155899,207738.28125,70.0
628361871,207738.28125,70.0
628566799,207711.9140625,70.0
628760546,207711.9140625,70.0
628955958,207711.9140625,70.0
629159785,207711.9140625,70.0
629361652,207685.546875,70.0
629565936,207659.1796875,70.0
629764445,207615.234375,70.0
629962445,207439.453125,70.0
630163557,206630.859375,70.0
630373985,204459.9609375,70.0
630559044,200979.4921875,70.0
630761600,196655.2734375,70.0
630963150,192708.984375,70.0
631166080,190019.53125,70.0
631369853,190019.53125,70.0
631564308,189641.6015625,70.0
631759594,191276.3671875,70.0
631961358,194563.4765625,70.0
632163604,198342.7734375,70.0
632361330,202315.4296875,70.0
632562900,205892.578125,70.0
632763075,208889.6484375,70.0
632965310,210858.3984375,70.0
633157184,211957.03125,70.0
633356249,212378.90625,70.0
633558002,212396.484375,70.0
633811413,212053.7109375,70.0
633960499,211570.3125,70.0
634164039,210928.7109375,70.0
634364701,210155.2734375,70.0
634596900,209250.0,70.0
634766349,208432.6171875,70.0
634956733,207764.6484375,70.0
635156534,207246.09375,70.0
635355848,207246.09375,70.0
635556905,206833.0078125,70.0
635762829,206569.3359375,70.0
635965788,206402.34375,70.0
636166240,206393.5546875,70.0
636356730,206472.65625,70.0
636562563,206666.015625,70.0
636755166,206894.53125,70.0
636958245,207149.4140625,70.0
637165114,207369.140625,70.0
637367530,207571.2890625,70.0
637563548,207729.4921875,70.0
637761271,207861.328125,70.0
637961331,207958.0078125,70.0
638162171,208028.3203125,70.0
638369364,208037.109375,70.0
638553174,208019.53125,70.0
638758255,207975.5859375,70.0
638954807,207896.484375,70.0
639159074,207834.9609375,70.0
639356291,207773.4375,70.0
639557192,207773.4375,70.0
639757325,207747.0703125,70.0
639957268,207694.3359375,70.0
640161765,207659.1796875,70.0
640357217,207624.0234375,70.0
640560283,207624.0234375,70.0
640756480,207597.65625,70.0
640962529,207588.8671875,70.0
641164006,207597.65625,70.0
641373274,207580.078125,70.0
641554803,207544.921875,70.0
641758282,207483.3984375,70.0
641957950,207430.6640625,70.0
642160106,207369.140625,70.0
642364486,207123.046875,70.0
642564317,206217.7734375,70.0
642762659,203835.9375,70.0
642965280,200197.265625,70.0
643166828,195846.6796875,70.0
643364224,192128.90625,70.0
643566452,189870.1171875,70.0
643766558,189870.1171875,70.0
643969577,189958.0078125,70.0
644155546,192120.1171875,70.0
644354156,195635.7421875,70.0
644558591,199494.140625,70.0
644755883,203370.1171875,70.0
644956971,206824.21875,70.0
645158520,209531.25,70.0
645357624,211289.0625,70.0
645559958,212238.28125,70.0
645759974,212510.7421875,70.0
645969810,212405.2734375,70.0
646164325,212018.5546875,70.0
646364851,211491.2109375,70.0
646556932,210788.0859375,70.0
646756381,209926.7578125,70.0
646960073,209047.8515625,70.0
647164476,208256.8359375,70.0
647366874,207641.6015625,70.0
647564009,207114.2578125,70.0
647769798,205901.3671875,70.0
647967742,202315.4296875,70.0
648161933,202315.4296875,70.0
648370511,194730.46875,70.0
648562379,183691.40625,70.0
648763488,171246.09375,70.0
648960430,160804.6875,70.0
649166355,155056.640625,70.0
649364484,155707.03125,70.0
649562834,161718.75,70.0
649769198,170824.21875,70.0
649965093,180641.6015625,70.0
650160173,190256.8359375,70.0
650362934,198993.1640625,70.0
650561416,206569.3359375,70.0
650776476,212537.109375,70.0
650959568,216650.39062499997,70.0
651163748,218909.17968749997,70.0
651352984,219559.57031249997,70.0
651564153,218838.86718749997,70.0
651772807,217335.93749999997,70.0
651960644,215402.34374999997,70.0
652160940,215402.34374999997,70.0
652362318,213451.17187499997,70.0
652562789,211482.421875,70.0
652763780,209707.03125,70.0
652961443,208230.46875,70.0
653154457,207017.578125,70.0
653357510,206041.9921875,70.0
653559124,205374.0234375,70.0
653760964,205013.671875,70.0
653964842,204960.9375,70.0
654165317,205171.875,70.0
654363126,205558.59375,70.0
654580471,206129.8828125,70.0
654759727,206692.3828125,70.0
654965918,207237.3046875,70.0
655165362,207685.546875,70.0
655370958,208054.6875,70.0
655564312,208309.5703125,70.0
655763716,208494.140625,70.0
655975154,208564.453125,70.0
656165472,208582.03125,70.0
656366061,208538.0859375,70.0
656561780,208538.0859375,70.0
656761331,208441.40625,70.0
656963262,208335.9375,70.0
657164347,208204.1015625,70.0
657362097,208081.0546875,70.0
657563427,207949.21875,70.0
657753250,207817.3828125,70.0
657957598,207747.0703125,70.0
658164022,207685.546875,70.0
658362187,207650.390625,70.0
658566655,207641.6015625,70.0
658756580,207650.390625,70.0
658955364,207667.96875,70.0
659155276,207703.125,70.0
659354878,207747.0703125,70.0
659555104,207799.8046875,70.0
659755985,207834.9609375,70.0
659964791,207861.328125,70.0
660156818,207887.6953125,70.0
660355248,207905.2734375,70.0
660558815,207905.2734375,70.0
660761669,207896.484375,70.0
660964087,207887.6953125,70.0
661159958,207887.6953125,70.0
661364268,207878.90625,70.0
661562241,207878.90625,70.0
661767333,207896.484375,70.0
661990662,207878.90625,70.0
662156445,207870.1171875,70.0
662363310,207861.328125,70.0
662562035,207870.1171875,70.0
662766741,207843.75,70.0
662963480,207817.3828125,70.0
663160889,207773.4375,70.0
663358262,207685.546875,70.0
663560577,207571.2890625,70.0
663761258,207474.609375,70.0
663972081,207395.5078125,70.0
664159383,207333.984375,70.0
664361401,207052.734375,70.0
664566457,206138.671875,70.0
664762432,206138.671875,70.0
664959901,203765.625,70.0
665161795,200109.375,70.0
665361580,195785.15625,70.0
665563937,192084.9609375,70.0
665762063,189861.328125,70.0
665971980,189931.640625,70.0
666161896,192243.1640625,70.0
666364584,195653.3203125,70.0
666571476,199599.609375,70.0
666769662,203519.53125,70.0
666966710,207017.578125,70.0
667165610,209777.34375,70.0
667367067,211543.9453125,70.0
667571183,212458.0078125,70.0
667766962,212739.25781249997,70.0
668002076,212624.99999999997,70.0
668157093,212194.3359375,70.0
668365499,211605.46875,70.0
668559506,210875.9765625,70.0
668758361,209979.4921875,70.0
668963045,209074.21875,70.0
669179890,208256.8359375,70.0
669360626,208256.8359375,70.0
669563237,207624.0234375,70.0
669759814,207131.8359375,70.0
669963244,206683.59375,70.0
670164549,206340.8203125,70.0
670357474,206094.7265625,70.0
670562733,206041.9921875,70.0
670761277,206033.203125,70.0
670962518,205690.4296875,70.0
671164232,204213.8671875,70.0
671363612,201313.4765625,70.0
671563012,197402.34375,70.0
671760398,193561.5234375,70.0
671963615,190854.4921875,70.0
672165415,190195.3125,70.0
672356249,191724.609375,70.0
672556776,194897.4609375,70.0
672762208,198650.390625,70.0
672960397,198650.390625,70.0
673157181,202464.84375,70.0
673360304,205954.1015625,70.0
673561780,208863.28125,70.0
673760462,210805.6640625,70.0
673962433,211948.2421875,70.0
674169080,212378.90625,70.0
674361865,212405.2734375,70.0
674564725,212071.2890625,70.0
674762660,211623.046875,70.0
674962991,210999.0234375,70.0
675164819,210234.375,70.0
675365105,209346.6796875,70.0
675556010,208538.0859375,70.0
675755461,207887.6953125,70.0
675960538,207360.3515625,70.0
676167953,206991.2109375,70.0
676360340,206745.1171875,70.0
676561873,206613.28125,70.0
676759688,206586.9140625,70.0
676959292,206692.3828125,70.0
677158379,206876.953125,70.0
677363644,206876.953125,70.0
677562630,207096.6796875,70.0
677763409,207325.1953125,70.0
677961054,207553.7109375,70.0
678158239,207764.6484375,70.0
678357779,207940.4296875,70.0
678558916,208063.4765625,70.0
678762896,208151.3671875,70.0
678959849,208195.3125,70.0
679159843,208212.890625,70.0
679363066,208168.9453125,70.0
679566480,208116.2109375,70.0
679767675,208054.6875,70.0
679966805,207993.1640625,70.0
680164247,207931.640625,70.0
680366682,207870.1171875,70.0
680559426,207843.75,70.0
680756272,207808.59375,70.0
680959451,207773.4375,70.0
681155850,207729.4921875,70.0
681357784,207729.4921875,70.0
